SrcIP; DstIP; Type; Query; Ans; Auth; Add; Resp. Types; Response; Response Value
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;accuweather.brightspotcdn.com;6;0;0;5,5,1,1,1,1;accuweather.brightspotcdn.com,cdn.accuweather.psdops.com,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net;99.86.243.62,99.86.243.123,99.86.243.68,99.86.243.106
10.0.2.3;10.0.2.15;1;ads.yahoo.com;3;0;0;5,1,1;ads.yahoo.com,fo-fd-world-new.yax.gysm.yahoodns.net,fo-fd-world-new.yax.gysm.yahoodns.net;212.82.100.172,212.82.100.180
10.0.2.3;10.0.2.15;1;android.clients.google.com;5;0;0;5,1,1,1,1;android.clients.google.com,android.l.google.com,android.l.google.com,android.l.google.com,android.l.google.com;216.58.201.78,216.58.201.110,172.217.23.206,172.217.23.238
10.0.2.3;10.0.2.15;1;android.googleapis.com;5;0;0;5,1,1,1,1;android.googleapis.com,googleapis.l.google.com,googleapis.l.google.com,googleapis.l.google.com,googleapis.l.google.com;216.58.201.106,172.217.23.202,172.217.23.234,216.58.201.74
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.appsflyer.com;3;0;0;1,1,1;api.appsflyer.com,api.appsflyer.com,api.appsflyer.com;52.49.94.193,52.16.116.96,54.72.196.207
10.0.2.3;10.0.2.15;1;api.appsflyer.com;3;0;0;1,1,1;api.appsflyer.com,api.appsflyer.com,api.appsflyer.com;54.72.196.207,52.16.116.96,52.49.94.193
10.0.2.3;10.0.2.15;1;api.mapbox.com;1;0;0;1;api.mapbox.com;99.86.244.43
10.0.2.3;10.0.2.15;1;app-measurement.com;1;0;0;1;app-measurement.com;216.58.201.78
10.0.2.3;10.0.2.15;1;cloudconfig.googleapis.com;5;0;0;5,1,1,1,1;cloudconfig.googleapis.com,googleapis.l.google.com,googleapis.l.google.com,googleapis.l.google.com,googleapis.l.google.com;172.217.23.234,172.217.23.202,216.58.201.74,216.58.201.106
10.0.2.3;10.0.2.15;1;cm.g.doubleclick.net;2;0;0;5,1;cm.g.doubleclick.net,pagead.l.doubleclick.net;216.58.201.98
10.0.2.3;10.0.2.15;1;cms.accuweather.com;3;0;0;5,1,1;cms.accuweather.com,cms.accuweather.psdops.com,cms.accuweather.psdops.com;52.3.95.246,34.194.108.44
10.0.2.3;10.0.2.15;1;combine.urbanairship.com;1;0;0;1;combine.urbanairship.com;35.190.53.75
10.0.2.3;10.0.2.15;1;config2.mparticle.com;4;0;0;1,1,1,1;config2.mparticle.com,config2.mparticle.com,config2.mparticle.com,config2.mparticle.com;151.101.130.133,151.101.66.133,151.101.194.133,151.101.2.133
10.0.2.3;10.0.2.15;1;config2.mparticle.com;4;0;0;1,1,1,1;config2.mparticle.com,config2.mparticle.com,config2.mparticle.com,config2.mparticle.com;151.101.66.133,151.101.194.133,151.101.130.133,151.101.2.133
10.0.2.3;10.0.2.15;1;device-api.urbanairship.com;1;0;0;1;device-api.urbanairship.com;35.244.184.98
10.0.2.3;10.0.2.15;1;device-api.urbanairship.com;1;0;0;1;device-api.urbanairship.com;35.244.184.98
