SrcIP; DstIP; Type; Query; Ans; Auth; Add; Resp. Types; Response; Response Value
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;aax-eu.amazon-adsystem.com;1;0;0;1;aax-eu.amazon-adsystem.com;52.94.216.48
10.0.2.3;10.0.2.15;1;accuweather.brightspotcdn.com;6;0;0;5,5,1,1,1,1;accuweather.brightspotcdn.com,cdn.accuweather.psdops.com,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net,d2hv6dpzsryqc1.cloudfront.net;13.32.99.21,13.32.99.246,13.32.99.134,13.32.99.17
10.0.2.3;10.0.2.15;1;ads.yahoo.com;3;0;0;5,1,1;ads.yahoo.com,fo-fd-world-new.yax.gysm.yahoodns.net,fo-fd-world-new.yax.gysm.yahoodns.net;212.82.100.172,212.82.100.180
10.0.2.3;10.0.2.15;1;android.clients.google.com;5;0;0;5,1,1,1,1;android.clients.google.com,android.l.google.com,android.l.google.com,android.l.google.com,android.l.google.com;172.217.23.206,216.58.201.110,216.58.201.78,172.217.23.238
10.0.2.3;10.0.2.15;1;android.googleapis.com;1;0;0;1;android.googleapis.com;216.58.201.74
10.0.2.3;10.0.2.15;1;android.googleapis.com;1;0;0;1;android.googleapis.com;216.58.201.74
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.accuweather.com;3;0;0;5,5,1;api.accuweather.com,api.accuweather.com.edgekey.net,e10414.g.akamaiedge.net;184.51.9.204
10.0.2.3;10.0.2.15;1;api.mapbox.com;1;0;0;1;api.mapbox.com;13.32.113.223
10.0.2.3;10.0.2.15;1;api.mapbox.com;1;0;0;1;api.mapbox.com;13.32.113.223
10.0.2.3;10.0.2.15;1;app.adjust.com;4;0;0;1,1,1,1;app.adjust.com,app.adjust.com,app.adjust.com,app.adjust.com;185.151.204.8,185.151.204.13,185.151.204.11,185.151.204.7
10.0.2.3;10.0.2.15;1;cm.g.doubleclick.net;2;0;0;5,1;cm.g.doubleclick.net,pagead.l.doubleclick.net;216.58.201.66
10.0.2.3;10.0.2.15;1;cms.accuweather.com;3;0;0;5,1,1;cms.accuweather.com,cms.accuweather.psdops.com,cms.accuweather.psdops.com;34.194.108.44,52.3.95.246
10.0.2.3;10.0.2.15;1;combine.urbanairship.com;1;0;0;1;combine.urbanairship.com;35.190.53.75
10.0.2.3;10.0.2.15;1;config2.mparticle.com;4;0;0;1,1,1,1;config2.mparticle.com,config2.mparticle.com,config2.mparticle.com,config2.mparticle.com;151.101.194.133,151.101.2.133,151.101.66.133,151.101.130.133
10.0.2.3;10.0.2.15;1;content.cdn.viber.com;5;0;0;5,1,1,1,1;content.cdn.viber.com,d2jlvwphuziop7.cloudfront.net,d2jlvwphuziop7.cloudfront.net,d2jlvwphuziop7.cloudfront.net,d2jlvwphuziop7.cloudfront.net;13.32.99.117,13.32.99.174,13.32.99.104,13.32.99.165
10.0.2.3;10.0.2.15;1;device-api.urbanairship.com;1;0;0;1;device-api.urbanairship.com;35.244.184.98
10.0.2.3;10.0.2.15;1;events.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;events.appsflyer.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com;52.213.60.70,52.212.57.110,52.31.168.118,54.171.20.35,54.154.229.245,52.30.49.50,54.72.177.155,52.51.135.116
